,issuer_name,plan_sponsor_name,plan_name,SPONS_DFE_EIN,FORM_TAX_PRD,FORM_PLAN_YEAR_BEGIN_DATE,PLAN_EFF_DATE,SPONS_DFE_MAIL_US_ADDRESS1,SPONS_DFE_MAIL_US_ADDRESS2,SPONS_DFE_MAIL_US_CITY,SPONS_DFE_MAIL_US_STATE,SPONS_DFE_MAIL_US_ZIP,SPONS_DFE_PHONE_NUM,BUSINESS_CODE,ADMIN_SIGNED_DATE,ADMIN_SIGNED_NAME
143,Cigna Health Life Insurance Company,"Think Systems, Inc.",OAP,200687239,2025-12-31,2025-11-01,2024-11-01,"1954 GREENSPRING DRIVE, SUITE 745",,TIMONIUM,MD,21093.0,8109281899.0,541600.0,,
144,Cigna Health Life Insurance Company,Indra,OAP,920546030,2025-12-31,2025-01-01,2024-01-01,11300 W 89TH ST.,,OVERLAND PARK,KS,66214.0,,481000.0,,
145,Cigna Health Life Insurance Company,"Egen Solutions, Inc.",OAP,364386212,2025-12-31,2025-01-01,2015-01-01,40 SHUMAN BLVD,STE 302,NAPERVILLE,IL,60563.0,6308440440.0,541519.0,,
146,Cigna Health Life Insurance Company,"ADELANTE HEALTHCARE, INC.",OAP,860377821,2025-12-31,2025-01-01,2006-01-01,3033 NORTH CENTRAL AVENUE,SUITE 145,PHOENIX,AZ,85012.0,6235833001.0,621399.0,,
147,Cigna Health Life Insurance Company,"SEE'S CANDIES, INC.",OAP,951205740,2025-10-01,2025-03-01,1951-12-31,210 EL CAMINO REAL,,SAN FRANCISCO,CA,94080.0,6505837307.0,311300.0,2026-04-02T16:26:16-0500,RUNGRAWEE LYNAGH
148,Cigna Health Life Insurance Company,LHI Group Inc.,OAP,320470773,2023-09-30,2022-12-01,2017-12-01,123 WILLIAM STREET,26TH FLOOR,NEW YORK,NY,10038.0,7379311250.0,561300.0,,
149,Cigna Health Life Insurance Company,ART SUPPLY ENTERPRISES dba MacPherson's,OAP,941152693,2025-07-31,2025-01-01,2022-01-01,PO BOX 195,,WILMINGTON,DE,19899.0,3026541888.0,424990.0,,
150,Cigna Health Life Insurance Company,Sundance State Bank,OAP,830149243,2025-12-31,2025-01-01,1960-01-01,PO BOX 950,,SUNDANCE,WY,82729.0,3072831074.0,522110.0,,
151,Cigna Health Life Insurance Company,"Andrew's Refrigeration, Inc.",OAP,860840431,2025-12-31,2025-01-01,2020-01-01,5617 E HILLERY DRIVE,,SCOTTSDALE,AZ,85254.0,6029929560.0,443141.0,2026-04-03T11:49:41-0500,GREG WILLMER
152,Cigna Health Life Insurance Company,"RMS Lifeline, Inc.",Local Plus,364258607,2025-12-31,2025-01-01,2020-06-01,ONE PARKWAY NORTH BOULEVARD,SUITE 200S,DEERFIELD,IL,60015.0,8773882001.0,541990.0,,
153,Cigna Health Life Insurance Company,"Themis-Tech, Inc. dba Flare",Local Plus,842331600,2025-12-31,2025-01-01,2020-04-01,"12555 HIGH BLUFF DRIVE, SUITE 100",,SAN DIEGO,CA,92130.0,8589251781.0,541512.0,,
154,Cigna Health Life Insurance Company,"AMDOCS, INC.",OAP,364523073,2025-06-30,2025-01-01,1992-01-01,625 MARYVILLE CENTRE DRIVE SUITE 20,,ST LOUIS,MO,63141.0,3142127000.0,541990.0,2026-03-12T12:34:35-0500,JESSICA ROSE
155,Cigna Health Life Insurance Company,"CVI, Inc. dba Commercial Van Interiors",OAP,431843042,2025-12-31,2025-01-01,2018-01-01,8840 SAINT CHARLES ROCK ROAD,,ST. LOUIS,MO,63114.0,3144237477.0,811120.0,,
156,Cigna Health Life Insurance Company,"Critical Mass Studios, Inc. dba Rightsline",OAP,800866775,2025-12-31,2025-01-01,2025-01-01,"214 MAIN ST, 376",,EL SEGUNDO,CA,90245.0,8005007357.0,511210.0,,
157,Cigna Health Life Insurance Company,SKT Technologies Inc,OAP,475303265,2025-12-31,2025-01-01,2024-01-01,3030 NORTHERN BLVD STE 403,,LONG ISLAND CITY,NY,11101.0,8889900250.0,518210.0,2026-04-02T13:53:39-0500,GIAO HUYNH
158,Cigna Health Life Insurance Company,"SIFCO Industries, Inc.",OAP,340553950,2023-02-28,2022-03-01,1974-03-01,970 EAST 64TH STREET,,CLEVELAND,OH,441031620.0,2168818600.0,332110.0,,
159,Cigna Health Life Insurance Company,"LOS ANGELES FILM SCHOOLS, LLC.",OAP,954725724,2023-03-31,2022-04-01,2010-04-01,6363 SUNSET BLVD,SUITE 400,HOLLYWOOD,CA,90028.0,3238600789.0,611000.0,,
160,Cigna Health Life Insurance Company,"LOS ANGELES FILM SCHOOLS, LLC.",OAP,954725724,2024-03-31,2023-04-01,2010-04-01,6363 SUNSET BLVD,SUITE 400,HOLLYWOOD,CA,90028.0,3238600789.0,611000.0,,
161,Cigna Health Life Insurance Company,"Roots Management Group, LLC",OAP,870855596,2022-12-31,2022-01-01,2020-01-01,1630 W. GUADALUPE RD,,GILBERT,AZ,85233.0,4803390000.0,315990.0,,
162,Cigna Health Life Insurance Company,"Publishers Circulation Fulfillment, Inc.",PPO,521318059,2025-12-31,2025-01-01,2008-01-01,11019 MCCORMICK ROAD,SUITE 401,HUNT VALLEY,MD,21031.0,4108218614.0,451212.0,,
163,Cigna Health Life Insurance Company,"Baby List, Inc.",OAP,453767218,2025-12-31,2025-01-01,2022-10-01,"1900 POWELL STREET, SUITE 150",,EMERYVILLE,CA,94612.0,2135854199.0,454110.0,,
164,Cigna Health Life Insurance Company,Nationwide Surplus,OAP,208647785,2025-12-31,2025-01-01,2022-01-01,730 EAST SOUTHERN AVENUE,,MESA,AZ,85204.0,8443720002.0,423930.0,,
165,Cigna Health Life Insurance Company,"Vantage Custom Classics, Inc.",OAP,112434167,2025-12-31,2025-01-01,1995-08-01,100 VANTAGE DR,,AVENEL,NJ,70011080.0,7323405824.0,315220.0,2026-02-17T10:15:42-0600,ERIC WUKITSCH
166,Cigna Health Life Insurance Company,"CenCore, LLC",OAP,274422594,2025-12-31,2025-01-01,2024-01-01,59 W 900 N,,SPRINGVILLE,UT,84663.0,3854488356.0,541990.0,,
167,Cigna Health Life Insurance Company,Harper Houf Peterson Righellis Inc.,OAP,931045332,2025-12-31,2025-01-01,2021-01-01,205 SE SPOKANE,SUITE 200,PORTLAND,OR,97202.0,5032211131.0,541330.0,,
168,Cigna Health Life Insurance Company,"Colorado Powerline, Inc.",OAP,204755074,2023-06-30,2022-07-01,2018-07-01,3593 TIMBER ML PARKWAY,,CASTLE ROCK,CO,80109.0,3036603784.0,237100.0,,
169,Cigna Health Life Insurance Company,"Genome Medical, Inc.",OAP,815279149,2025-12-31,2025-01-01,2024-01-01,611 GATEWAY BOULEVARD,SUITE 120,SOUTH SAN FRANCISCO,CA,94080.0,8776880992.0,541990.0,,
170,Cigna Health Life Insurance Company,Seabrook Island Club,OAP,570932575,2025-12-31,2025-01-01,1996-01-01,3772 SEABROOK ISLAND ROAD,,SEABROOK ISLAND,SC,29455.0,8437684946.0,721199.0,,
171,Cigna Health Life Insurance Company,WESTERN ARKANSAS COUNSELING & GUIDANCE CENTER INC,OAP,237015826,2025-05-31,2025-01-01,1997-01-01,3111 SOUTH 70TH STREET,,FORT SMITH,AR,72903.0,4794526650.0,621410.0,,
172,Cigna Health Life Insurance Company,"Arizona Asthma & Allergy Legacy, PLC",Local Plus,860379167,2025-12-31,2025-01-01,2019-01-01,13965 NORTH 75TH AVENUE,,PEORIA,AZ,85381.0,6028432991.0,621111.0,2026-04-15T19:32:50-0500,DR. EIZA L.O. CHING
173,Cigna Health Life Insurance Company,"United Group Programs, Inc. DBA OptimedHealth Plan",OAP,591896277,2025-11-20,2025-01-01,1995-07-01,919 N. MARKET STREET,SUITE 420,WILMINGTON,DE,19801.0,3024288142.0,524210.0,2026-03-26T10:27:55-0500,JAMI NIMEROFF
174,Cigna Health Life Insurance Company,Alliance for Audited Media,OAP,360756300,2025-09-12,2025-01-01,1947-11-01,1600 MCCONNOR PARKWAY,"SUITE 300, PMB 22",SCHAUMBURG,IL,601736890.0,2243666939.0,813000.0,2026-03-20T15:18:05-0500,ROBERT SCHWEITZER
175,Cigna Health Life Insurance Company,HOLIDAY INN CLUB VACATIONS INCORPORATED,OAP,581434701,2025-12-31,2025-01-01,2016-04-01,9271 S JOHN YOUNG PKWY,,ORLANDO,FL,32819.0,3213452337.0,531390.0,,
176,Cigna Health Life Insurance Company,"AmbaFlex Manufacturing, Inc.",OAP,800600099,2025-12-31,2025-01-01,2021-01-01,1530 RAFF ROAD SW,,CANTON,OH,44710.0,3302848662.0,333200.0,,
177,Cigna Health Life Insurance Company,Skilljar Inc.,OAP,462755706,2025-05-07,2025-01-01,2014-11-01,206 1ST AVENUE S. # 220,,SEATTLE,WA,98104.0,4254050469.0,511210.0,2026-03-12T08:37:13-0500,JUSTIN RAMIREZ
178,Cigna Health Life Insurance Company,MATTRESS FIRM,Local Plus,760596008,2025-09-25,2025-01-01,2019-04-15,10201 SOUTH MAIN STREET,,HOUSTON,TX,77025.0,7133433588.0,442299.0,2026-04-08T13:05:29-0500,MARK WHITING
179,Cigna Health Life Insurance Company,"Gencor Industries, Inc.",OAP,590933147,2025-12-31,2025-01-01,1987-01-01,5201 N ORANGE BLOSSOM TRAIL,,ORLANDO,FL,328101008.0,4072906000.0,333200.0,2026-01-27T08:35:14-0600,CHRIS CARROLL
180,Cigna Health Life Insurance Company,Marcum Wealth Management,OAP,202317470,2025-08-15,2025-01-01,2001-03-15,6685 BETA DRIVE,,MAYFIELD VILLAGE,OH,44143.0,4404496800.0,541211.0,2026-02-20T12:15:03-0600,TODD HEALY
181,Cigna Health Life Insurance Company,Vernier Science Education,OAP,934154597,2025-12-31,2025-01-01,2015-01-01,13979 SW MILLIKAN WAY,,BEAVERTON,OR,970052886.0,5032772299.0,334500.0,,
182,Cigna Health Life Insurance Company,"SPLOOT VETERINARY CARE DBA PETHERO, INC.",OAP,871496426,2025-12-31,2025-12-01,2022-12-01,1930 WEST 41ST AVENUE,,DENVER,CO,80211.0,7207308890.0,541940.0,,
183,Cigna Health Life Insurance Company,MISSISSIPPI METHODIST SENIOR SERVICES,OAP,646026549,2025-12-31,2025-01-01,2006-01-01,P. O. BOX 1567,,TUPELO,MS,38002.0,6628448977.0,623000.0,2026-03-24T16:41:23-0500,MERRIN CANTIN
184,Cigna Health Life Insurance Company,KRAFT HEINZ FOODS COMPANY,OAP,250542520,2025-12-31,2025-01-01,1974-08-01,"200 E RANDOLPH, SUITE 7600",,CHICAGO,IL,606017720.0,8476462000.0,424400.0,2026-04-09T09:25:49-0500,AMY OSTOP
185,Cigna Health Life Insurance Company,KRAFT HEINZ FOODS COMPANY,OAP,250542520,2025-12-31,2025-01-01,1991-01-01,200 E RANDOLPH ST STE 7600,,CHICAGO,IL,606017720.0,8476462000.0,424400.0,2026-04-10T09:15:32-0500,AMY OSTOP
186,Cigna Health Life Insurance Company,KRAFT HEINZ FOODS COMPANY,OAP,250542520,2025-12-31,2025-01-01,2017-01-01,200 E RANDOLPH ST STE 7600,,CHICAGO,IL,606017720.0,8476462000.0,424400.0,2026-04-10T09:12:34-0500,AMY OSTOP
187,Cigna Health Life Insurance Company,KRAFT HEINZ FOODS COMPANY,OAP,250542520,2025-12-31,2025-01-01,1983-07-01,200 E RANDOLPH ST STE 7600,,CHICAGO,IL,606017720.0,8476462000.0,424400.0,2026-04-10T10:16:02-0500,AMY OSTOP
188,Cigna Health Life Insurance Company,"Red Canary, Inc.",OAP,272621971,2025-08-31,2025-01-01,2017-07-01,1601 19TH STREET,STE 900,DENVER,CO,80202.0,8559770686.0,541513.0,2026-03-17T10:02:01-0500,JANE DALE
189,Cigna Health Life Insurance Company,"Support, LLC dba Support, Inc.",Local Plus,841110664,2025-12-31,2025-01-01,2017-01-01,15591 EAST CENTERTECH PARKWAY,,AURORA,CO,80011.0,3033400322.0,624100.0,,
190,Cigna Health Life Insurance Company,"Stylecraft Builders, Inc.",OAP,742485231,2025-12-31,2025-01-01,2021-12-17,4090 STATE HIGHWAY 6 SOUTH,,COLLEGE STATION,TX,77845.0,9796901222.0,236110.0,,
191,Cigna Health Life Insurance Company,Everstream Solutions LLC,OAP,364742361,2025-12-31,2025-01-01,2015-11-01,1228 EUCLID AVENUE,SUITE 250,CLEVELAND,OH,44115.0,2169232260.0,541990.0,2026-03-23T15:49:03-0500,MEREDITH MCCASKEY
192,Cigna Health Life Insurance Company,"Kodiak Cakes, LLC",OAP,813272228,2022-12-31,2022-01-01,2020-01-01,8163 GORGOZA PINES RD,,PARK CITY,UT,84098.0,8013284067.0,311900.0,,
193,Cigna Health Life Insurance Company,"Rosen Sapperstein & Friedlander, L.L.C.",OAP,475153865,2025-12-31,2025-01-01,1990-01-01,405 YORK ROAD,,TOWSON,MD,21204.0,4105810800.0,541211.0,2026-04-09T05:30:48-0500,PATRICIA LAUMAN
194,Cigna Health Life Insurance Company,Colorado Springs Orthopaedic Group,OAP,841276956,2025-12-31,2025-01-01,2021-01-01,4110 BRIARGATE PARKWAY,SUITE 300,COS,CO,80920.0,7198677323.0,621111.0,,
195,Cigna Health Life Insurance Company,"TLM Associates, Inc.",OAP,621510105,2025-12-31,2025-01-01,1994-01-01,117 E. LAFAYETTE STREET,,JACKSON,TN,38301.0,7319889840.0,541330.0,2026-04-14T10:18:25-0500,LAUREN WHITAKER
196,Cigna Health Life Insurance Company,"Ascend, Inc.",OAP,202257507,2025-12-31,2025-01-01,2025-01-01,941 GRANT PL,,BOULDER,CO,80302.0,8007267051.0,541512.0,,
197,Cigna Health Life Insurance Company,"K.E. McKay's Market of Coos Bay, Inc",OAP,930496274,2025-12-31,2025-01-01,1989-02-01,PO BOX 1080,,COOS BAY,OR,97420.0,5412695921.0,445110.0,,
198,Cigna Health Life Insurance Company,"VERIZON COMMUNICATIONS, INC.",GPPO,232259884,2025-12-31,2025-01-01,1989-08-17,"ONE VERIZON WAY,",,BASKING RIDGE,NJ,7920.0,9085593342.0,517000.0,2026-03-13T17:40:33-0500,ARLEEN PRESTON
199,Cigna Health Life Insurance Company,"VERIZON COMMUNICATIONS, INC.",GPPO,232259884,2025-12-31,2025-01-01,1989-09-01,"ONE VERIZON WAY,",,BASKING RIDGE,NJ,7920.0,9085593342.0,517000.0,2026-03-13T17:41:21-0500,ARLEEN PRESTON
200,Cigna Health Life Insurance Company,"VERIZON COMMUNICATIONS, INC.",GPPO,232259884,2025-12-31,2025-01-01,1986-08-10,"ONE VERIZON WAY,",,BASKING RIDGE,NJ,7920.0,9085593342.0,517000.0,2026-03-13T17:39:23-0500,ARLEEN PRESTON
201,Cigna Health Life Insurance Company,"VERIZON COMMUNICATIONS, INC.",GPPO,232259884,2025-12-31,2025-01-01,2024-01-01,ONE VERIZON WAY,,BASKING RIDGE,NJ,7920.0,9085593342.0,517000.0,2026-04-07T10:48:25-0500,ARLEEN PRESTON
202,Cigna Health Life Insurance Company,"VERIZON COMMUNICATIONS, INC.",GPPO,232259884,2025-12-31,2025-01-01,1984-01-01,"ONE VERIZON WAY,",,BASKING RIDGE,NJ,7920.0,9085593342.0,517000.0,2026-04-07T10:43:54-0500,ARLEEN PRESTON
203,Cigna Health Life Insurance Company,"VERIZON COMMUNICATIONS, INC.",GPPO,232259884,2025-12-31,2025-01-01,2002-01-01,"ONE VERIZON WAY,",,BASKING RIDGE,NJ,7920.0,9085593342.0,517000.0,2026-04-07T10:47:03-0500,ARLEEN PRESTON
204,Cigna Health Life Insurance Company,"VERIZON COMMUNICATIONS, INC.",GPPO,232259884,2025-12-31,2025-01-01,2024-01-01,ONE VERIZON WAY,,BASKING RIDGE,NJ,7920.0,9085593342.0,517000.0,2026-04-07T10:51:17-0500,ARLEEN PRESTON
205,Cigna Health Life Insurance Company,"VERIZON COMMUNICATIONS, INC.",GPPO,232259884,2025-12-31,2025-01-01,2018-01-01,"ONE VERIZON WAY,",,BASKING RIDGE,NJ,7920.0,9085593342.0,517000.0,2026-04-22T09:31:46-0500,ARLEEN PRESTON
206,Cigna Health Life Insurance Company,"VERIZON COMMUNICATIONS, INC.",GPPO,232259884,2025-12-31,2025-01-01,2018-01-01,ONE VERIZON WAY,,BASKING RIDGE,NJ,7920.0,9085593342.0,517000.0,2026-04-22T09:30:46-0500,ARLEEN PRESTON
207,Cigna Health Life Insurance Company,"Heart of Texas Goodwill Industries, Inc.",OAP,741238443,2025-12-31,2025-01-01,2017-08-01,1700 SOUTH NEW ROAD,,WACO,TX,76711.0,2547537337.0,813000.0,2026-02-25T22:29:25-0600,SHANNON WITTMER
208,Cigna Health Life Insurance Company,"ADELANTE HEALTHCARE, INC.",Local Plus,860377821,2025-12-31,2025-01-01,2006-01-01,3033 NORTH CENTRAL AVENUE,SUITE 145,PHOENIX,AZ,85012.0,6235833001.0,621399.0,,
209,Cigna Health Life Insurance Company,FOXCONN CORPORATION,OAP,760427709,2025-12-31,2025-01-01,2005-09-01,8801 FALL BROOK DRIVE,,HOUSTON,TX,77064.0,2816681678.0,334110.0,,
210,Cigna Health Life Insurance Company,TECTONIC MSA LLC,OAP,995060184,2025-12-31,2025-01-01,2015-11-01,70 PLEASANT HILL ROAD,PO BOX 37,MOUNTAINVILLE,NY,10953.0,8455345959.0,541330.0,2026-04-23T10:13:28-0500,ELENA CIARDULLO
211,Cigna Health Life Insurance Company,The Legal Aid Society of Cleveland,OAP,340866026,2022-12-31,2022-01-01,2022-01-01,1223 WEST SIXTH STREET,,CLEVELAND,OH,44113.0,2166871900.0,541190.0,2026-04-24T08:45:06-0500,COLLEEN COTTER
212,Cigna Health Life Insurance Company,"Huish Outdoors, LLC",OAP,263678735,2023-11-30,2022-12-01,2022-12-01,1540 NORTH 2200 WEST,,SALT LAKE CITY,UT,84116.0,8018346931.0,451140.0,2026-04-22T16:14:09-0500,CINDY CHATWIN
213,Cigna Health Life Insurance Company,"BELL & MCCOY COMPANIES, LLC",OAP,741718203,2025-01-01,2025-01-01,2004-01-01,7210 NORTH LOOP EAST,,HOUSTON,TX,77028.0,7132234146.0,541110.0,,
214,Cigna Health Life Insurance Company,U.S. Eagle Federal Credit Union,OAP,850102181,2025-12-31,2025-01-01,1992-01-01,3939 OSUNA RD NE,,ALBUQUERQUE,NM,87109.0,5053428875.0,522130.0,2026-04-06T09:43:57-0500,MAGGIE TANNEN
215,Cigna Health Life Insurance Company,"Autonomous Solutions, Inc.",OAP,870662067,2025-12-31,2025-01-01,2018-01-01,990 NORTH 8000 WEST,,MENDON,UT,84325.0,4357552980.0,541700.0,,
216,Cigna Health Life Insurance Company,THE ARCTICOM GROUP,Local Plus,821463967,2021-12-31,2021-01-01,2019-01-01,1676 N. CALIFORNIA BLVD,SUITE 550,WALNUT CREEK,CA,94596.0,9723223642.0,238210.0,,
217,Cigna Health Life Insurance Company,"DS-SL Holdings, LLC dba SupplyLogic",OAP,844489591,2025-12-31,2025-01-01,1998-04-01,1400 UNIVERSAL AVENUE,,KANSAS CITY,MO,64120.0,4107851111.0,323100.0,2026-04-14T11:38:19-0500,SHIRMALYN PONCE
218,Cigna Health Life Insurance Company,"Pacific Group Resort, Inc.",OAP,364778076,2025-06-30,2025-05-01,2021-05-01,1794 OLYMPIC PARKWAY,SUITE 250,PARK CITY,UT,84098.0,8015180020.0,713900.0,,
219,Cigna Health Life Insurance Company,MATTRESS FIRM,OAP,760596008,2025-09-25,2025-01-01,2019-04-15,10201 SOUTH MAIN STREET,,HOUSTON,TX,77025.0,7133433588.0,442299.0,2026-04-08T13:05:29-0500,MARK WHITING
220,Cigna Health Life Insurance Company,"MOMENTUM MANUFACTURING GROUP, LLC",OAP,823058909,2025-09-30,2025-01-01,1997-01-01,23 NATIONAL WAY,,GEORGETOWN,MA,1833.0,8027485007.0,332900.0,2026-04-08T13:04:56-0500,YOLANDA VEGA-SANTILLAN
221,Cigna Health Life Insurance Company,"Elk Operating Services, LLC",OAP,823513197,2025-12-31,2025-01-01,2009-01-01,1700 LINCOLN STREET,SUITE 250,DENVER,CO,80203.0,3038616255.0,424700.0,,
222,Cigna Health Life Insurance Company,AON CORPORATION,Local Plus,363051915,2021-12-31,2021-01-01,1984-07-01,MSC# 17755,PO BOX 1447,LINCOLNSHIRE,IL,60069.0,3123811000.0,524290.0,2026-03-22T19:39:42-0500,DONNA DAVIS
223,Cigna Health Life Insurance Company,AON CORPORATION,Local Plus,363051915,2022-12-31,2022-01-01,1984-07-01,MSC# 17755,PO BOX 1447,LINCOLNSHIRE,IL,60069.0,3123811000.0,524290.0,2026-03-22T19:48:04-0500,DONNA DAVIS
224,Cigna Health Life Insurance Company,AON CORPORATION,Local Plus,363051915,2021-12-31,2021-01-01,2004-01-01,MSC# 17755,PO BOX 1447,LINCOLNSHIRE,IL,60069.0,3123811000.0,524290.0,2026-03-22T20:37:37-0500,DONNA DAVIS
225,Cigna Health Life Insurance Company,AON CORPORATION,Local Plus,363051915,2022-12-31,2022-01-01,2004-01-01,MSC# 17755,PO BOX 1447,LINCOLNSHIRE,IL,60069.0,3123811000.0,524290.0,2026-03-22T20:42:50-0500,DONNA DAVIS
226,Cigna Health Life Insurance Company,AON CORPORATION,Local Plus,363051915,2021-12-31,2021-01-01,1977-01-01,MSC# 17755,PO BOX 1447,LINCOLNSHIRE,IL,60069.0,3123811000.0,524290.0,2026-03-22T21:12:20-0500,DONNA DAVIS
227,Cigna Health Life Insurance Company,AON CORPORATION,Local Plus,363051915,2022-12-31,2022-01-01,1977-01-01,MSC# 17755,PO BOX 1447,LINCOLNSHIRE,IL,60069.0,3123811000.0,524290.0,2026-03-22T21:26:31-0500,DONNA DAVIS
228,Cigna Health Life Insurance Company,SOUTH COLLEGE OF TENNESSEE LLC,OAP,461287748,2025-12-31,2025-01-01,2014-01-01,3904 LONAS DRIVE,,KNOXVILLE,TN,37909.0,8652934550.0,611000.0,,
229,Cigna Health Life Insurance Company,"FRANKLIN ELECTRIC CO., INC.",OAP,350827455,2022-12-31,2022-01-01,1960-01-01,9255 COVERDALE RD,,FORT WAYNE,IN,468099613.0,2602842900.0,335310.0,2026-01-27T09:36:16-0600,GABRIELLE CARR
230,Cigna Health Life Insurance Company,"Support, LLC dba Support, Inc.",OAP,841110664,2025-12-31,2025-01-01,2017-01-01,15591 EAST CENTERTECH PARKWAY,,AURORA,CO,80011.0,3033400322.0,624100.0,,
231,Cigna Health Life Insurance Company,Third Point LLC,OAP,133922602,2025-05-31,2025-02-01,2022-01-01,55 HUDSON YARDS,,NEW YORK,NY,10001.0,2127156707.0,523900.0,,
232,Cigna Health Life Insurance Company,"Physician Partners of America, LLC",OAP,900962715,2025-12-31,2025-01-01,2013-10-01,504 NORTH REO STREET,,TAMPA,FL,33609.0,8447037246.0,621111.0,,
233,Cigna Health Life Insurance Company,"McEwen Mining, Inc.",OAP,840796160,2025-12-31,2025-01-01,2018-01-01,2215 N. 5TH STREET,,ELKO,NV,89801.0,7752994081.0,212200.0,2026-04-14T13:07:32-0500,HEIDI WHIMPLE
234,Cigna Health Life Insurance Company,KRAFT HEINZ FOODS COMPANY,Local Plus,250542520,2025-12-31,2025-01-01,1974-08-01,"200 E RANDOLPH, SUITE 7600",,CHICAGO,IL,606017720.0,8476462000.0,424400.0,2026-04-09T09:25:49-0500,AMY OSTOP
235,Cigna Health Life Insurance Company,KRAFT HEINZ FOODS COMPANY,Local Plus,250542520,2025-12-31,2025-01-01,1991-01-01,200 E RANDOLPH ST STE 7600,,CHICAGO,IL,606017720.0,8476462000.0,424400.0,2026-04-10T09:15:32-0500,AMY OSTOP
236,Cigna Health Life Insurance Company,KRAFT HEINZ FOODS COMPANY,Local Plus,250542520,2025-12-31,2025-01-01,2017-01-01,200 E RANDOLPH ST STE 7600,,CHICAGO,IL,606017720.0,8476462000.0,424400.0,2026-04-10T09:12:34-0500,AMY OSTOP
237,Cigna Health Life Insurance Company,KRAFT HEINZ FOODS COMPANY,Local Plus,250542520,2025-12-31,2025-01-01,1983-07-01,200 E RANDOLPH ST STE 7600,,CHICAGO,IL,606017720.0,8476462000.0,424400.0,2026-04-10T10:16:02-0500,AMY OSTOP
238,Cigna Health Life Insurance Company,"Schoeller Bleckmann America, Inc.",OAP,510332482,2025-12-31,2025-01-01,2019-01-01,11525 BRITTMOORE PARK DR,,HOUSTON,TX,77041.0,7138566500.0,332700.0,,
239,Cigna Health Life Insurance Company,Hayes Medical Staffing LLC,OAP,823139826,2022-07-31,2021-08-01,2018-01-01,6700 N. ANDREWS AVENUE,SUITE 600,FORT LAUDERDALE,FL,33309.0,9546179537.0,541600.0,2026-02-20T10:28:21-0600,JOSHUA RUF
240,Cigna Health Life Insurance Company,Hayes Medical Staffing LLC,OAP,823139826,2023-07-31,2022-08-01,2018-01-01,6700 N. ANDREWS AVENUE,SUITE 600,FORT LAUDERDALE,FL,33309.0,9546179537.0,541600.0,2026-02-20T10:31:40-0600,JOSHUA RUF
241,Cigna Health Life Insurance Company,"DAP Health, Inc.",OAP,330068583,2025-12-31,2025-01-01,2017-02-01,1695 NORTH SUNRISE WAY,,PALM SPRINGS,CA,92262.0,7609920419.0,621498.0,,
242,Cigna Health Life Insurance Company,"Drill Tech Drilling & Shoring, Inc.",OAP,911854749,2022-12-31,2022-01-01,2003-08-01,2200 WYMORE WAY,,ANTIOCH,CA,94509.0,9259782060.0,238900.0,2026-01-14T15:29:17-0600,DOUG MUNIZ
243,Cigna Health Life Insurance Company,Dominion Due Diligence Group,OAP,541720249,2025-12-31,2025-01-01,2014-02-01,201 WYLDEROSE DRIVE,,MIDLOTHIAN,VA,23113.0,8043582020.0,541330.0,,
244,Cigna Health Life Insurance Company,"BetterBody Foods and Nutrition, LLC",OAP,205989542,2021-12-31,2021-01-01,2015-10-01,1762 WEST 20 SOUTH #100,,LINDON,UT,84042.0,8013190189.0,424400.0,2026-02-25T13:05:06-0600,ADELIA ESSELTINE
245,Cigna Health Life Insurance Company,"GIBSON OVERSEAS, INC.",OAP,953393699,2025-06-10,2025-01-01,1997-10-01,2410 YATES AVE,,COMMERCE,CA,90040.0,6265609682.0,423200.0,2026-03-25T19:03:10-0500,KRISTINA LEE
246,Cigna Health Life Insurance Company,"Arizona Advanced Surgery, LLC",Local Plus,843016310,2025-05-22,2025-01-01,2021-03-01,2320 N 3RD ST,,PHOENIX,AZ,85004.0,6022961453.0,621111.0,,
247,Cigna Health Life Insurance Company,Johnson Restaurant Group,OAP,820341648,2023-06-30,2022-07-01,2020-07-01,PO BOX 50630,,CASPER,WY,826050630.0,3072653029.0,722511.0,2026-03-23T12:15:34-0500,JAMES HINTON
248,Cigna Health Life Insurance Company,"Cuesta Investments, Inc.",OAP,770508345,2025-12-31,2025-01-01,2022-01-01,PO BOX 4960,,SAN LUIS OBISPO,CA,93403.0,8055434745.0,441110.0,,
249,Cigna Health Life Insurance Company,"Burns Pest Elimination, Inc.",OAP,860469064,2025-12-31,2025-01-01,1997-09-01,2620 W GROVERS AVE,,PHOENIX,AZ,850531965.0,6029714782.0,561710.0,,
250,Cigna Health Life Insurance Company,"Sila Services, LLC dba Dave's World",OAP,851645781,2025-12-31,2025-01-01,2021-01-01,"900 E 8TH AVENUE, SUITE 106",,KING OF PRUSSIA,PA,19406.0,6109949506.0,238220.0,,
251,Cigna Health Life Insurance Company,"Raleigh Capitol Ear, Nose and Throat P.A.",OAP,320365638,2020-06-30,2019-07-01,2019-07-01,"4600 LAKE BOONE TRAIL, SUITE 100",,RALEIGH,NC,27607.0,9197871374.0,621111.0,,
252,Cigna Health Life Insurance Company,"Raleigh Capitol Ear, Nose and Throat P.A.",OAP,320365638,2023-06-30,2022-07-01,2020-07-01,"4600 LAKE BOONE TRAIL, SUITE 100",,RALEIGH,NC,27607.0,9197871374.0,621111.0,,
